,assignment_id,img_id,answer_correct,explanation_ours,expl_score_ours,confusing_ours,incorrect_ours,insufficient_ours,explanation_gt,expl_score_gt,confusing_gt,incorrect_gt,insufficient_gt,prefer_ours,prefer_gt,prefer_none
selected,3ATTHHXXWB0EBOOA0OPNQGMRNKJXIX,3732728142.jpg#0r1e,True,a baby wearing a hat is part of the overall description of the baby in a stroller,0.6666666666666666,False,False,True,just because a baby is wearing a red beanie it does not mean the baby is wearing a hat,0.0,False,False,True,True,False,False
selected,3ATTHHXXWB0EBOOA0OPNQGMRNKJXIX,410422753.jpg#4r5e,True,a dog is running in the snow,1,False,False,False,if a dog is in the snow then there is snow,1.0,False,False,False,True,False,False
selected,3ATTHHXXWB0EBOOA0OPNQGMRNKJXIX,2446830166.jpg#2r2c,True,the man cannot be walking and sitting at the same time,1,False,False,False,the man cannot be on stilts walking behind a woman and sitting on a park bench simultaneously,1.0,False,False,False,False,False,True
selected,3ATTHHXXWB0EBOOA0OPNQGMRNKJXIX,4791513183.jpg#2r1n,True,just because a girl is standing in the doorway of a building doesn't mean she is bored,1,False,False,False,there is a girl in the picture but no way to tell whether she feels bored,1.0,False,False,False,False,False,True
selected,34X6J5FLPUAQX274WSFV895Y3WVJQ8,3415178926.jpg#4r1n,True,the man could have been playing with the dog instead of trying to get it to play catch,1,False,False,False,the man is trying to get a stick away from the dog. it is unknown whether or not he is playing catch,1.0,False,False,False,False,True,False
selected,34X6J5FLPUAQX274WSFV895Y3WVJQ8,3732728142.jpg#0r1e,True,a baby wearing a hat is part of the overall description of the baby in a stroller,1,False,False,False,just because a baby is wearing a red beanie it does not mean the baby is wearing a hat,0.0,False,False,False,True,False,False
selected,34X6J5FLPUAQX274WSFV895Y3WVJQ8,410422753.jpg#4r5e,True,a dog is running in the snow,1,False,False,False,if a dog is in the snow then there is snow,1.0,False,False,False,True,False,False
selected,34X6J5FLPUAQX274WSFV895Y3WVJQ8,2446830166.jpg#2r2c,True,the man cannot be walking and sitting at the same time,1,False,False,False,the man cannot be on stilts walking behind a woman and sitting on a park bench simultaneously,1.0,False,False,False,False,True,False
selected,34X6J5FLPUAQX274WSFV895Y3WVJQ8,4791513183.jpg#2r1n,True,just because a girl is standing in the doorway of a building doesn't mean she is bored,1,False,False,False,there is a girl in the picture but no way to tell whether she feels bored,1.0,False,False,False,False,False,True
selected,3NPI0JQDAPHZBT2U89EAAA2XW2VTPR,3415178926.jpg#4r1n,True,the man could have been playing with the dog instead of trying to get it to play catch,1,False,False,False,the man is trying to get a stick away from the dog. it is unknown whether or not he is playing catch,1.0,False,False,False,False,False,True
selected,3NPI0JQDAPHZBT2U89EAAA2XW2VTPR,3732728142.jpg#0r1e,True,a baby wearing a hat is part of the overall description of the baby in a stroller,1,False,False,False,just because a baby is wearing a red beanie it does not mean the baby is wearing a hat,0.0,False,False,False,True,False,False
selected,3NPI0JQDAPHZBT2U89EAAA2XW2VTPR,410422753.jpg#4r5e,True,a dog is running in the snow,1,False,False,False,if a dog is in the snow then there is snow,1.0,False,False,False,False,False,True
selected,3NPI0JQDAPHZBT2U89EAAA2XW2VTPR,2446830166.jpg#2r2c,True,the man cannot be walking and sitting at the same time,1,False,False,False,the man cannot be on stilts walking behind a woman and sitting on a park bench simultaneously,1.0,False,False,False,False,True,False
selected,3NPI0JQDAPHZBT2U89EAAA2XW2VTPR,4791513183.jpg#2r1n,True,just because a girl is standing in the doorway of a building doesn't mean she is bored,1,False,False,False,there is a girl in the picture but no way to tell whether she feels bored,1.0,False,False,False,False,False,True
selected,3KXIR214I5SJ21MYRA2Q6PIC5QN24C,3732728142.jpg#0r1e,True,a baby wearing a hat is part of the overall description of the baby in a stroller,1,False,False,False,just because a baby is wearing a red beanie it does not mean the baby is wearing a hat,1.0,False,False,False,False,False,False
selected,3KXIR214I5SJ21MYRA2Q6PIC5QN24C,4791513183.jpg#2r1n,True,just because a girl is standing in the doorway of a building doesn't mean she is bored,1,False,False,False,there is a girl in the picture but no way to tell whether she feels bored,1.0,False,False,False,True,False,False
selected,3STRJBFXOX3Y025EVH92ETGY2N8TKZ,3732728142.jpg#0r1e,True,a baby wearing a hat is part of the overall description of the baby in a stroller,1,False,False,False,just because a baby is wearing a red beanie it does not mean the baby is wearing a hat,1.0,False,False,False,True,False,False
selected,3STRJBFXOX3Y025EVH92ETGY2N8TKZ,410422753.jpg#4r5e,True,a dog is running in the snow,1,False,False,False,if a dog is in the snow then there is snow,1.0,False,False,False,True,False,False
selected,34S6N1K2ZWVJFZW1GN4EFAQPGXRHLX,4842876705.jpg#4r1e,True,a man playing music is smoking,1,False,False,False,one can make music while playing a big instrument,1.0,False,False,False,True,False,False
selected,34S6N1K2ZWVJFZW1GN4EFAQPGXRHLX,4586247564.jpg#0r1e,True,a woman walking on the road is part of her overall description of walking along a road,1,True,False,False,a middle-aged woman is a woman and a breakwater in a european coastal town is a road,1.0,True,False,False,False,False,True
selected,34S6N1K2ZWVJFZW1GN4EFAQPGXRHLX,390369.jpg#0r1c,True,the man is either in a jail cell or in the street,0.6666666666666666,True,True,False,the man is either in jail or in the middle o the street,0.6666666666666666,True,True,False,False,False,True
selected,34S6N1K2ZWVJFZW1GN4EFAQPGXRHLX,4715269800.jpg#1r1n,True,a man is not a girl,1,False,False,False,a man is looking out the window of the ambulance,0.0,False,False,False,True,False,False
selected,34S6N1K2ZWVJFZW1GN4EFAQPGXRHLX,3399944164.jpg#4r1c,True,the man and woman cannot be laying down and jogging at the same time,1,False,False,False,you can not be laid back relaxing when your jogging down a trail,1.0,False,False,False,True,False,False
selected,3HUTX6F6VVZN6UWGAUHZKNOHMKQO2H,4842876705.jpg#4r1e,True,a man playing music is smoking,0.3333333333333333,False,False,True,one can make music while playing a big instrument,0.6666666666666666,False,False,True,False,True,False
selected,3HUTX6F6VVZN6UWGAUHZKNOHMKQO2H,4586247564.jpg#0r1e,True,a woman walking on the road is part of her overall description of walking along a road,0.6666666666666666,False,False,True,a middle-aged woman is a woman and a breakwater in a european coastal town is a road,1.0,False,False,True,False,True,False
selected,3HUTX6F6VVZN6UWGAUHZKNOHMKQO2H,390369.jpg#0r1c,True,the man is either in a jail cell or in the street,1,False,False,False,the man is either in jail or in the middle o the street,1.0,False,False,False,False,False,True
selected,3HUTX6F6VVZN6UWGAUHZKNOHMKQO2H,4715269800.jpg#1r1n,True,a man is not a girl,1,False,False,False,a man is looking out the window of the ambulance,1.0,False,False,False,True,False,False
selected,3HUTX6F6VVZN6UWGAUHZKNOHMKQO2H,3399944164.jpg#4r1c,True,the man and woman cannot be laying down and jogging at the same time,1,False,False,False,you can not be laid back relaxing when your jogging down a trail,1.0,False,False,False,True,False,False
selected,37XITHEISXL31PGYZFN9QV289VLRCU,4842876705.jpg#4r1e,True,a man playing music is smoking,1,False,False,False,one can make music while playing a big instrument,1.0,False,False,False,True,False,False
selected,37XITHEISXL31PGYZFN9QV289VLRCU,4586247564.jpg#0r1e,True,a woman walking on the road is part of her overall description of walking along a road,1,False,False,False,a middle-aged woman is a woman and a breakwater in a european coastal town is a road,0.3333333333333333,False,False,False,False,False,False
selected,37XITHEISXL31PGYZFN9QV289VLRCU,4715269800.jpg#1r1n,True,a man is not a girl,1,False,False,False,a man is looking out the window of the ambulance,1.0,False,False,False,True,False,False
selected,37XITHEISXL31PGYZFN9QV289VLRCU,3399944164.jpg#4r1c,True,the man and woman cannot be laying down and jogging at the same time,1,False,False,False,you can not be laid back relaxing when your jogging down a trail,1.0,False,False,False,True,False,False
selected,3LO69W1SU4P5F31QWHMWUAEO1VSGL7,4842876705.jpg#4r1e,True,a man playing music is smoking,1,False,False,False,one can make music while playing a big instrument,1.0,False,False,False,True,False,False
selected,3LO69W1SU4P5F31QWHMWUAEO1VSGL7,4586247564.jpg#0r1e,True,a woman walking on the road is part of her overall description of walking along a road,1,False,False,False,a middle-aged woman is a woman and a breakwater in a european coastal town is a road,1.0,False,False,False,False,True,False
selected,3LO69W1SU4P5F31QWHMWUAEO1VSGL7,4715269800.jpg#1r1n,True,a man is not a girl,1,False,False,False,a man is looking out the window of the ambulance,1.0,False,False,False,False,True,False
selected,3EWIJTFFVPJUYTGD1TAPWN1OLIF0EG,4842876705.jpg#4r1e,True,a man playing music is smoking,1,False,False,False,one can make music while playing a big instrument,1.0,False,False,False,True,False,False
selected,3EWIJTFFVPJUYTGD1TAPWN1OLIF0EG,4586247564.jpg#0r1e,True,a woman walking on the road is part of her overall description of walking along a road,1,False,False,False,a middle-aged woman is a woman and a breakwater in a european coastal town is a road,1.0,False,False,False,True,False,False
selected,3EWIJTFFVPJUYTGD1TAPWN1OLIF0EG,390369.jpg#0r1c,True,the man is either in a jail cell or in the street,1,False,False,False,the man is either in jail or in the middle o the street,1.0,False,False,False,False,True,False
selected,3EWIJTFFVPJUYTGD1TAPWN1OLIF0EG,4715269800.jpg#1r1n,True,a man is not a girl,1,False,False,False,a man is looking out the window of the ambulance,1.0,False,False,False,False,True,False
selected,3DY4FPOOA20Z0YMYQWIEGNQXU5PVRR,86120682.jpg#4r1c,True,the woman cannot be sitting on a table and eating lunch simultaneously,0.3333333333333333,False,True,True,she could not be in front of a fire because there would not be a fire in the park,1.0,False,True,True,False,True,False
selected,3DY4FPOOA20Z0YMYQWIEGNQXU5PVRR,2518853257.jpg#2r1n,True,a man and a woman are reading books in lawn chairs,0.6666666666666666,False,False,True,you can see a man and a woman sitting in lawn chairs reading books,1.0,False,False,True,False,True,False
selected,3DY4FPOOA20Z0YMYQWIEGNQXU5PVRR,4365035558.jpg#0r1c,True,the family cannot be skiing and standing on the beach simultaneously,1,False,False,False,people on a beach cannot be skiing,1.0,False,False,False,False,False,True
selected,3DY4FPOOA20Z0YMYQWIEGNQXU5PVRR,2202059975.jpg#1r1c,True,the people cannot be sitting inside and walking down the street at the same time,1,False,False,False,outside is inherently not inside,0.0,False,False,False,True,False,False
selected,3DY4FPOOA20Z0YMYQWIEGNQXU5PVRR,2536957963.jpg#3r1c,True,the men cannot simultaneously run and be standing,0.6666666666666666,False,False,False,stairs is contradictory to field,0.6666666666666666,False,False,False,False,False,True
selected,3R9WASFE20SJ6SMZ0Y7NK4PAFO4ZFC,86120682.jpg#4r1c,True,the woman cannot be sitting on a table and eating lunch simultaneously,0.6666666666666666,False,False,True,she could not be in front of a fire because there would not be a fire in the park,0.0,False,False,True,True,False,False
selected,3R9WASFE20SJ6SMZ0Y7NK4PAFO4ZFC,2518853257.jpg#2r1n,True,a man and a woman are reading books in lawn chairs,0.6666666666666666,False,False,True,you can see a man and a woman sitting in lawn chairs reading books,1.0,False,False,True,False,True,False
selected,3R9WASFE20SJ6SMZ0Y7NK4PAFO4ZFC,4365035558.jpg#0r1c,True,the family cannot be skiing and standing on the beach simultaneously,1,False,False,False,people on a beach cannot be skiing,1.0,False,False,False,False,True,False
selected,3R9WASFE20SJ6SMZ0Y7NK4PAFO4ZFC,2202059975.jpg#1r1c,True,the people cannot be sitting inside and walking down the street at the same time,0.6666666666666666,False,False,False,outside is inherently not inside,1.0,False,False,False,True,False,False
selected,3R9WASFE20SJ6SMZ0Y7NK4PAFO4ZFC,2536957963.jpg#3r1c,True,the men cannot simultaneously run and be standing,1,False,False,False,stairs is contradictory to field,1.0,False,False,False,False,True,False
selected,3FPRZHYEPZJ7HW1WF6HIYPNHOQY3VI,86120682.jpg#4r1c,True,the woman cannot be sitting on a table and eating lunch simultaneously,1,False,False,False,she could not be in front of a fire because there would not be a fire in the park,1.0,False,False,False,False,True,False
selected,3FPRZHYEPZJ7HW1WF6HIYPNHOQY3VI,2518853257.jpg#2r1n,True,a man and a woman are reading books in lawn chairs,1,False,False,False,you can see a man and a woman sitting in lawn chairs reading books,1.0,False,False,False,True,False,False
selected,3FPRZHYEPZJ7HW1WF6HIYPNHOQY3VI,2202059975.jpg#1r1c,True,the people cannot be sitting inside and walking down the street at the same time,1,False,False,False,outside is inherently not inside,1.0,False,False,False,True,False,False
selected,3FPRZHYEPZJ7HW1WF6HIYPNHOQY3VI,2536957963.jpg#3r1c,True,the men cannot simultaneously run and be standing,1,False,False,False,stairs is contradictory to field,1.0,False,False,False,True,False,False
selected,3W8CV64QJ3BOEXVSRQ1OA1ZUG1T9H7,86120682.jpg#4r1c,True,the woman cannot be sitting on a table and eating lunch simultaneously,0,True,True,True,she could not be in front of a fire because there would not be a fire in the park,1.0,True,True,True,False,False,True
selected,3W8CV64QJ3BOEXVSRQ1OA1ZUG1T9H7,2518853257.jpg#2r1n,True,a man and a woman are reading books in lawn chairs,1,False,False,False,you can see a man and a woman sitting in lawn chairs reading books,1.0,False,False,False,False,False,True
selected,3W8CV64QJ3BOEXVSRQ1OA1ZUG1T9H7,2202059975.jpg#1r1c,True,the people cannot be sitting inside and walking down the street at the same time,1,False,False,False,outside is inherently not inside,1.0,False,False,False,False,False,True
selected,3HFNH7HEMIQG60H3OMUSBWDIB1CQG3,2518853257.jpg#2r1n,True,a man and a woman are reading books in lawn chairs,1,False,False,False,you can see a man and a woman sitting in lawn chairs reading books,1.0,False,False,False,True,False,False
selected,3IUZPWIU1PJQSJ98QMED1DNX6MXKWX,1235455146.jpg#0r1c,True,the family cannot be dead if they are enjoying the beach,1,False,False,False,a family picnicking cannot be said dead,1.0,False,False,False,False,False,True
selected,3IUZPWIU1PJQSJ98QMED1DNX6MXKWX,129662899.jpg#2r1e,True,a man in a jumpsuit is the same as a man in a jumpsuit,0.6666666666666666,False,False,True,man in jumpsuit is the same as man in jumpsuit,0.6666666666666666,False,False,True,False,False,True
selected,3IUZPWIU1PJQSJ98QMED1DNX6MXKWX,2905200744.jpg#2r1n,True,"if there is an ocean, there is water nearby",0.3333333333333333,False,False,True,"yes,there is water nearby",1.0,False,False,True,False,True,False
selected,3IUZPWIU1PJQSJ98QMED1DNX6MXKWX,4071750215.jpg#1r1e,True,a child is playing outside in a pile of leaves,0.6666666666666666,False,False,True,a little girl is a child and she is playing with some leaves so she is outside,1.0,False,False,True,False,True,False
selected,3IUZPWIU1PJQSJ98QMED1DNX6MXKWX,2618322793.jpg#4r1c,True,the boy cannot be sitting and standing still simultaneously,0.6666666666666666,False,False,True,swings implies motion so the boy cannot be standing still,1.0,False,False,True,False,True,False
selected,3A4TN5196LUQCV2V3ABFCR02MPQCHR,1235455146.jpg#0r1c,True,the family cannot be dead if they are enjoying the beach,1,False,False,False,a family picnicking cannot be said dead,1.0,False,False,False,False,False,True
selected,3A4TN5196LUQCV2V3ABFCR02MPQCHR,129662899.jpg#2r1e,True,a man in a jumpsuit is the same as a man in a jumpsuit,0.6666666666666666,False,False,True,man in jumpsuit is the same as man in jumpsuit,0.6666666666666666,False,False,True,False,False,True
selected,3A4TN5196LUQCV2V3ABFCR02MPQCHR,2905200744.jpg#2r1n,True,"if there is an ocean, there is water nearby",1,False,False,False,"yes,there is water nearby",0.0,False,False,False,True,False,False
selected,3A4TN5196LUQCV2V3ABFCR02MPQCHR,4071750215.jpg#1r1e,True,a child is playing outside in a pile of leaves,1,False,False,False,a little girl is a child and she is playing with some leaves so she is outside,0.6666666666666666,False,False,False,True,False,False
selected,3A4TN5196LUQCV2V3ABFCR02MPQCHR,2618322793.jpg#4r1c,True,the boy cannot be sitting and standing still simultaneously,1,False,False,False,swings implies motion so the boy cannot be standing still,1.0,False,False,False,False,True,False
selected,3QIYRE09Y4TYZOE8QBH80FE74461NX,1235455146.jpg#0r1c,True,the family cannot be dead if they are enjoying the beach,1,False,False,False,a family picnicking cannot be said dead,1.0,False,False,False,False,False,True
selected,3QIYRE09Y4TYZOE8QBH80FE74461NX,129662899.jpg#2r1e,True,a man in a jumpsuit is the same as a man in a jumpsuit,0.6666666666666666,True,False,True,man in jumpsuit is the same as man in jumpsuit,0.6666666666666666,True,False,True,False,False,True
selected,3QIYRE09Y4TYZOE8QBH80FE74461NX,2905200744.jpg#2r1n,True,"if there is an ocean, there is water nearby",1,False,False,False,"yes,there is water nearby",0.6666666666666666,False,False,False,True,False,False
selected,3QIYRE09Y4TYZOE8QBH80FE74461NX,4071750215.jpg#1r1e,True,a child is playing outside in a pile of leaves,1,False,False,False,a little girl is a child and she is playing with some leaves so she is outside,0.6666666666666666,False,False,False,True,False,False
selected,3QIYRE09Y4TYZOE8QBH80FE74461NX,2618322793.jpg#4r1c,True,the boy cannot be sitting and standing still simultaneously,1,False,False,False,swings implies motion so the boy cannot be standing still,1.0,False,False,False,False,True,False
selected,39PAAFCODNCCGDZQULN9G2RFIN5VTH,1235455146.jpg#0r1c,True,the family cannot be dead if they are enjoying the beach,1,False,False,False,a family picnicking cannot be said dead,1.0,False,False,False,True,False,False
selected,39PAAFCODNCCGDZQULN9G2RFIN5VTH,129662899.jpg#2r1e,True,a man in a jumpsuit is the same as a man in a jumpsuit,1,False,False,False,man in jumpsuit is the same as man in jumpsuit,1.0,False,False,False,True,False,False
selected,39PAAFCODNCCGDZQULN9G2RFIN5VTH,2905200744.jpg#2r1n,True,"if there is an ocean, there is water nearby",1,False,False,False,"yes,there is water nearby",1.0,False,False,False,True,False,False
selected,39PAAFCODNCCGDZQULN9G2RFIN5VTH,4071750215.jpg#1r1e,True,a child is playing outside in a pile of leaves,1,False,False,False,a little girl is a child and she is playing with some leaves so she is outside,1.0,False,False,False,True,False,False
selected,39PAAFCODNCCGDZQULN9G2RFIN5VTH,2618322793.jpg#4r1c,True,the boy cannot be sitting and standing still simultaneously,1,False,False,False,swings implies motion so the boy cannot be standing still,1.0,False,False,False,False,True,False
selected,3OONKJ5DKDVHU7WCTNAALGRLGLVOB1,1235455146.jpg#0r1c,True,the family cannot be dead if they are enjoying the beach,0,False,True,False,a family picnicking cannot be said dead,0.0,False,True,False,False,False,True
selected,3OONKJ5DKDVHU7WCTNAALGRLGLVOB1,129662899.jpg#2r1e,True,a man in a jumpsuit is the same as a man in a jumpsuit,1,False,False,False,man in jumpsuit is the same as man in jumpsuit,1.0,False,False,False,True,False,False
selected,3OONKJ5DKDVHU7WCTNAALGRLGLVOB1,2905200744.jpg#2r1n,True,"if there is an ocean, there is water nearby",1,False,False,False,"yes,there is water nearby",1.0,False,False,False,True,False,False
selected,3OONKJ5DKDVHU7WCTNAALGRLGLVOB1,4071750215.jpg#1r1e,True,a child is playing outside in a pile of leaves,1,False,False,False,a little girl is a child and she is playing with some leaves so she is outside,1.0,False,False,False,True,False,False
selected,3XUHV3NRVLA5DATGO0O7YLUSU7IH50,2612125121.jpg#0r1n,True,a man drawing a picture of a family does not imply that he is drawing his family at the beach,0.6666666666666666,False,False,True,a man is drawing while a group of people are about him and the umbrella in the picture as well as the skyline and trees could be located at a beach,0.3333333333333333,False,False,True,True,False,False
selected,3XUHV3NRVLA5DATGO0O7YLUSU7IH50,821599220.jpg#1r1e,True,a mountain is a very high altitude,1,False,False,False,"a male and female hiker means they are both hikers. when one peers out over the mountains, one is at a very high altitude",1.0,False,False,False,False,False,True
selected,3XUHV3NRVLA5DATGO0O7YLUSU7IH50,3745405944.jpg#1r1n,True,"a man can drink anything, not just soda",1,False,False,False,"the man is drinking something, but it is unclear if it is a soda",1.0,False,False,False,False,False,True
selected,3XUHV3NRVLA5DATGO0O7YLUSU7IH50,3416339125.jpg#1r1n,True,just because two men are sitting at a table drinking beer doesn't mean they are father and son,1,False,False,False,"two men are drinking beer together, but we do not know if they are father and son",1.0,False,False,False,False,False,True
selected,3XUHV3NRVLA5DATGO0O7YLUSU7IH50,177591612.jpg#0r1n,True,not all young guys are good looking,0.6666666666666666,False,False,True,"they look like they might be posing for a picture, but the football is seems like it could be out-of-reach for them and not be detrimental for their picture",1.0,False,False,True,False,True,False
selected,3WSELTNVR4ESOPWSJQWDKFD2XGPATM,821599220.jpg#1r1e,True,a mountain is a very high altitude,1,False,False,False,"a male and female hiker means they are both hikers. when one peers out over the mountains, one is at a very high altitude",1.0,False,False,False,True,False,False
selected,37UEWGM5HUKJEM60JIYP9ZJH51S1RI,2612125121.jpg#0r1n,True,a man drawing a picture of a family does not imply that he is drawing his family at the beach,1,False,False,False,a man is drawing while a group of people are about him and the umbrella in the picture as well as the skyline and trees could be located at a beach,0.6666666666666666,False,False,False,True,False,False
selected,37UEWGM5HUKJEM60JIYP9ZJH51S1RI,3745405944.jpg#1r1n,True,"a man can drink anything, not just soda",1,False,False,False,"the man is drinking something, but it is unclear if it is a soda",1.0,False,False,False,False,False,True
selected,37UEWGM5HUKJEM60JIYP9ZJH51S1RI,3416339125.jpg#1r1n,True,just because two men are sitting at a table drinking beer doesn't mean they are father and son,1,False,False,False,"two men are drinking beer together, but we do not know if they are father and son",1.0,False,False,False,False,False,False
selected,37UEWGM5HUKJEM60JIYP9ZJH51S1RI,177591612.jpg#0r1n,True,not all young guys are good looking,0.6666666666666666,False,False,True,"they look like they might be posing for a picture, but the football is seems like it could be out-of-reach for them and not be detrimental for their picture",0.6666666666666666,False,False,True,False,True,False
selected,3OJSZ2ATDT88KLN4BR2V785YG2K75I,821599220.jpg#1r1e,True,a mountain is a very high altitude,1,False,False,False,"a male and female hiker means they are both hikers. when one peers out over the mountains, one is at a very high altitude",1.0,False,False,False,False,True,False
selected,3M68NM076IJEL87XPOA64VAYDBQ6R1,821599220.jpg#1r1e,True,a mountain is a very high altitude,1,False,False,False,"a male and female hiker means they are both hikers. when one peers out over the mountains, one is at a very high altitude",0.0,False,False,False,True,False,False
selected,3VP0C6EFSH8NOSU5KGEPIWGO7OQ6MC,1303727066.jpg#4r1c,True,a man cannot be in a meeting and in a crowded area at the same time,0.6666666666666666,False,False,True,wearing a peace sign is different than business attire,0.6666666666666666,False,False,True,False,True,False
selected,3VP0C6EFSH8NOSU5KGEPIWGO7OQ6MC,2735558076.jpg#0r1n,True,a young boy sitting on the ground is not assumed to be in a family picture,0.6666666666666666,False,False,True,yes there is a young boy clearly sitting on the ground. no evidence of any family members or family photo,1.0,False,False,True,False,True,False
selected,3VP0C6EFSH8NOSU5KGEPIWGO7OQ6MC,3494151850.jpg#2r1n,True,you can not infer they are on their way to a rescue,0.6666666666666666,False,False,False,though the men are on their way but we cant conclude that they are on their way to rescue,0.6666666666666666,False,False,False,False,False,True
selected,3JNQLM5FT5YF09TJX217S6KNRF7L2J,1303727066.jpg#4r1c,True,a man cannot be in a meeting and in a crowded area at the same time,0.3333333333333333,False,False,True,wearing a peace sign is different than business attire,0.6666666666666666,False,False,True,False,True,False
selected,3JNQLM5FT5YF09TJX217S6KNRF7L2J,3518443604.jpg#1r1c,True,the people cannot be laughing and joking around while they are sitting on the steps,0,False,False,True,the people are unlikely to be laughing and joking at the same time as cowering in a doorway,1.0,False,False,True,False,True,False
