index,index_0,index_1,index_2,index_3,index_4,id_0,id_1,id_2,id_3,id_4,question_0,question_1,question_2,question_3,question_4,answer_0,answer_1,answer_2,answer_3,answer_4,output_answer_0,output_answer_1,output_answer_2,output_answer_3,output_answer_4,output_explanation_0,output_explanation_1,output_explanation_2,output_explanation_3,output_explanation_4,explanation_0,explanation_1,explanation_2,explanation_3,explanation_4,other_answer1_0,other_answer1_1,other_answer1_2,other_answer1_3,other_answer1_4,other_answer2_0,other_answer2_1,other_answer2_2,other_answer2_3,other_answer2_4,img_name_0,img_name_1,img_name_2,img_name_3,img_name_4
50,1874,442,1242,1088,88,318361002,550055002,341603005,461255012,398174003,What room is this?,Is this a military plane?,Is the chair checked or solid?,What kind of pants is he wearing?,What kind of pants is she wearing?,kitchen,no,checked,jeans,jeans,kitchen,no,checked,jeans,jeans,there is a refrigerator and a stove,it is a commercial plane,it is green and white,they are blue and made of denim,they are blue and made of denim,it has a stove in it,it is a plane built for civilians to travel on,it has a plaid design,they are made of denim material,they are blue and have a casual look to them,skiing,bus station,flying kite,cake,train,carrot,tomato,cow,sleeping,summer,318361002.jpg,550055002.jpg,341603005.jpg,461255012.jpg,398174003.jpg
55,1233,238,1241,1004,718,340934001,155319003,341487002,453302001,435692001,What room is this?,What is this person holding?,Is the man carrying a musical instrument of any kind?,What is on top of the refrigerator?,What is this person doing?,bathroom,kite,yes,microwave,flying kite,bathroom,kite,yes,microwave,flying kite,there is a toilet and a bathtub,it is a kite string,he is holding a sign,it is a microwave on top of a refrigerator,he is standing on the beach with a kite in the air,there is a toilet in it and a sink,the man has a string in his hand and his children are standing next to a kite that has fallen to the ground,he is carrying a rain stick in his hand,it has dials and a door like a microwave,it appears to be a kite in the image with a thin string,living room,cow,fire truck,owl,surfing,riding motorcycle,horse,skateboarding,walking,sheep,340934001.jpg,155319003.jpg,341487002.jpg,453302001.jpg,435692001.jpg
60,1445,1114,589,1753,1964,93140001,463454004,428305002,376900005,392878004,What room is this?,Is it raining?,What room is this?,What game are they playing?,Is this a beach scene?,kitchen,yes,bathroom,tennis,no,kitchen,yes,bathroom,tennis,no,there is a stove and a refrigerator,the people are holding an umbrella,there is a sink and a shower,the man is holding a tennis racket,there are no beach chairs,the stove top is on the counter beside the salt and pepper shakers,two people are standing under an umbrella,it has a toilet in it,a man is throwing a ball into the air with his left hand while holding a racket with his right hand,the family is gathered in a field,bus,woman,christmas,bedroom,living room,fork,keyboard,reading,jeans,bedroom,93140001.jpg,463454004.jpg,428305002.jpg,376900005.jpg,392878004.jpg
65,622,942,94,1855,1691,36773002,579060004,529528001,253520000,111062001,Does he have on a headband?,What game is he playing?,Where was this taken?,Is it cloudy?,Does this room look neat and tidy?,yes,tennis,kitchen,no,yes,yes,tennis,kitchen,no,yes,he is wearing a white headband,he is hitting a tennis ball with a racket,there is a stove and a cake mixer,the sky is blue and there are no clouds,there are no clutter,the tennis player is wearing a white sweatband all around his forehead,he is hitting a ball with a racket,there is a hand-mixer in it with batter all over it,the sky is a very even blue color with no white obstructions,there is no clutter on any surface,bus,fork,bathroom,snowboarding,kite,fire hydrant,dining room,owl,classroom,carrot,36773002.jpg,579060004.jpg,529528001.jpg,253520000.jpg,111062001.jpg
70,1739,301,790,1247,1121,507135001,148531000,177861002,210846002,463918000,What is this?,Is this a modern plane?,Is it raining?,What type of soup is this?,What game are they playing?,fire hydrant,no,yes,tomato,wii,fire hydrant,no,yes,tomato,wii,it is a fire hydrant with a white top and a pink bottom,it is a small plane,the ground is wet and people are holding umbrellas,it is a tomato sauce,they are holding wii controllers,it is red and has a nozzle,the blue plane has propellers and not jets,the sidewalk where these people are walking is wet and the pedestrians are carrying open umbrellas over their heads,it is red and solid colored,the boys are holding wii controllers,motorcycle,airport,beach,train,water,van,wii,display,van,truck,507135001.jpg,148531000.jpg,177861002.jpg,210846002.jpg,463918000.jpg
75,1138,1609,28,92,317,333998003,105538000,525361003,529455001,19028005,Is this a hotel?,Is the laptop on?,Is this a passenger train?,What is he doing?,What room of the house is this?,no,yes,yes,surfing,kitchen,no,yes,yes,surfing,kitchen,it is a kitchen,the screen is lit up,there are windows for passengers to look out of,he is on a surfboard in the ocean,there is a dishwasher and a stove,it is a kitchen inside a family home,the laptop's screen is showing an image,"it is all one piece with doors to open and let people in at various places, it has no attached cars for hauling goods",he is on a surf board in the ocean riding a wave,there is a dishwasher in the room,living room,summer,truck,sheep,dining room,skiing,frisbee,classroom,sleeping,reading,333998003.jpg,105538000.jpg,525361003.jpg,529455001.jpg,19028005.jpg
80,1526,69,363,1604,1533,492683000,528200000,545583001,236412007,361993001,Is the window open?,Is the table cluttered?,What is the person doing?,Would a vegetarian eat this?,Should the man be afraid of being run over by traffic?,yes,no,skiing,yes,no,yes,no,skiing,yes,no,the dog is looking out the window,there is only a vase on the table,he is on skis and is jumping over a snowbank,it is a pizza,the traffic light is red,the dog is looking out the open window,there is only a flower vase and nothing else on it,they are riding on skies,the pizza has no meat as a topping,the traffic lights are red,keyboard,cake,skateboarding,tomato,chair,cake,elephant,sleeping,dog,van,492683000.jpg,528200000.jpg,545583001.jpg,236412007.jpg,361993001.jpg
85,83,690,1362,1090,415,135613003,171717004,87038001,382728006,155131001,Is this a hotel?,What kind of room is this?,What sport is this?,Is this a modern train?,What type of hat is on her head?,yes,bathroom,skateboarding,yes,visor,yes,bathroom,skateboarding,yes,visor,there are towels and a bathtub,there is a toilet and a bathtub,the man is riding a skateboard,it is a large train with many cars,it is a hat that covers her head,there is a watermark of a rental company in the picture,there is a tub and a toilet next to the sink,he just preformed a trick on a skateboard,many of the cars are tankers and there are three non-steam engines at its front and there are also box cars attached to it,there is not a top to the hat and the band goes around her head,summer,on,sheep,zoo,birthday,chinese,sheep,palm,sleeping,kite,135613003.jpg,171717004.jpg,87038001.jpg,382728006.jpg,155131001.jpg
90,597,1525,1079,819,43,530220001,256844002,460461007,310342006,526721000,Is someone wearing a yellow jacket?,What kind of flooring is in the bathroom?,Is it winter?,Is the elephant walking in a herd?,What is the cat doing?,yes,tile,no,yes,eating,yes,tile,no,yes,eating,it is a yellow jacket,it is a light colored tile,the people are wearing warm clothes,there are several elephants in the background,it is eating from a bowl,there is a bright colored fabric,it consists of squares joined together,the trees have all their leaves on them,there is a group of elephants walking together,the cat's face is in a food bowl,water,bus,yes,bedroom,kitchen,reading,snowboarding,wii,chinese,zoo,530220001.jpg,256844002.jpg,460461007.jpg,310342006.jpg,526721000.jpg
95,378,1093,1516,1111,470,284400002,199764002,409708000,273825001,27146003,What is man doing?,Is it possible that this event is a farmers market?,Does this room have warm lighting?,Is the man amused?,Is this a commercial kitchen?,texting,yes,yes,no,yes,texting,yes,yes,no,yes,he is holding a cellphone,there are tents and a farmer's market,the room is lit up with lamps,he is frowning and talking on the phone,there are many appliances and counters,he is holding a phone and typing,there are items for sale that can be grown on a farm,the area is bright and colored,he looks rather irritated right now,there are industrial machines and everything is tiled,tennis,kitchen,painting,skiing,pigeons,flying kite,living room,baseball,surfing,classroom,284400002.jpg,199764002.jpg,409708000.jpg,273825001.jpg,27146003.jpg
