index,index_0,index_1,index_2,index_3,index_4,id_0,id_1,id_2,id_3,id_4,question_0,question_1,question_2,question_3,question_4,answer_0,answer_1,answer_2,answer_3,answer_4,output_answer_0,output_answer_1,output_answer_2,output_answer_3,output_answer_4,output_explanation_0,output_explanation_1,output_explanation_2,output_explanation_3,output_explanation_4,explanation_0,explanation_1,explanation_2,explanation_3,explanation_4,other_answer1_0,other_answer1_1,other_answer1_2,other_answer1_3,other_answer1_4,other_answer2_0,other_answer2_1,other_answer2_2,other_answer2_3,other_answer2_4,img_name_0,img_name_1,img_name_2,img_name_3,img_name_4
50,1483,180,743,859,682,358427007,10526000,175310012,50245002,302038006,What utensil is this?,What is the boy doing?,What room of the house is this?,What is the person doing?,What room is this?,fork,skateboarding,bathroom,skateboarding,dining room,fork,skateboarding,bathroom,skateboarding,dining room,it has a shiny metal end,he is doing a trick on a skateboard,there is a sink and a mirror,he is doing a trick on a skateboard,there is a dining table and a fireplace,the utensil has four prongs,he is standing on a board with wheels,a large mirror is over the sink and flanked by cabinets,the person is in the air above a skateboard,there is a table for eating and chairs and dishes,dinner,pita,shower,chocolate,phone,green beans,couch,boat,train station,realistic,358427007.jpg,10526000.jpg,175310012.jpg,50245002.jpg,302038006.jpg
55,1561,1239,1074,1354,1616,233042001,341389004,316912006,86432005,368222007,Are there spectators at this event?,What are the people doing?,Is it raining?,What sport are the boys playing?,What kind of electronic is this?,yes,skiing,no,baseball,phone,yes,skiing,no,baseball,phone,there are people watching,they are on a snowy mountain,the ground is dry and the people are standing outside,they are wearing baseball uniforms and one of them is swinging a bat,it has a cord attached to it,people are sitting and standing in the tiered bleacher seats,"they have the proper equipment, and there is snow",the ground is dry and people are standing outside,the batter is hitting the ball on the baseball field,the man is holding a phone receiver,carpet,bakery,cows,fire hydrant,palm,flying,sandwich,home,ham,flying kite,233042001.jpg,341389004.jpg,316912006.jpg,86432005.jpg,368222007.jpg
60,93,873,145,407,1396,54301000,313057003,305800002,285961002,482367001,What sport is this?,Is this a passenger train?,Is this an event?,Is this picture taken during the daytime?,What sport is this?,baseball,yes,yes,yes,tennis,baseball,yes,yes,yes,tennis,the man is holding a baseball bat,the cars have windows for people to look out of,there are people standing around a table with glasses of wine,the sun is shining on the trees,the players are holding tennis rackets,they have a baseball bat on home base,there are passenger cars attached and not freight cars,several people are wearing name badges,there is sunlight visible in the picture,one man is holding a racket in his hand,riding elephant,overcast,kangaroo,phone,eating,old,german shepherd,beach,juice,bandana,54301000.jpg,313057003.jpg,305800002.jpg,285961002.jpg,482367001.jpg
65,1609,1516,69,195,1809,105538000,409708000,528200000,535506003,249883001,Is the laptop on?,Does this room have warm lighting?,Is the table cluttered?,Does she look happy?,What is the person doing?,yes,yes,no,no,skateboarding,yes,yes,no,no,skateboarding,the screen is lit up,the lamps are on and it is very bright,there is only a vase and no other items on the table,he is frowning,he is riding a skateboard down the sidewalk,the laptop's screen is showing an image,the area is bright and colored,there is only a flower vase and nothing else on it,the woman is holding a knife and her eyes are narrowed as she looks at the camera,he is riding down the path on a skateboard,mustache,helmet,sheep,cutting,sheep,polar,trash,sheep,van,riding elephant,105538000.jpg,409708000.jpg,528200000.jpg,535506003.jpg,249883001.jpg
70,1417,306,332,1395,94,484434001,18158002,309120001,482242002,529528001,Is it raining?,What season is this?,What kind of sport is he playing?,Is this a color picture?,Where was this taken?,yes,summer,soccer,yes,kitchen,yes,summer,soccer,yes,kitchen,the people are holding umbrellas,the people are standing outside in shorts and t-shirts,he is wearing soccer cleats and holding a soccer ball,"the man is wearing a blue shirt and the dog is wearing a green, blue, and red blanket",there is a stove top with a pot on it,everyone is holding an umbrella,people are wearing shorts,there are two soccer balls,the objects in it have many different colors,there is a hand-mixer in it with batter all over it,evening,skylight,jet skiing,visor,dog,overcast,colgate,pitching,phone,ferris wheel,484434001.jpg,18158002.jpg,309120001.jpg,482242002.jpg,529528001.jpg
75,1418,627,972,1814,1342,91236013,6153005,581557000,381360002,101636006,Is the sky cloudy?,Is this a real train?,Does this man's shirt match his surfboard?,What is the man doing?,Is it raining?,no,yes,yes,surfing,yes,no,yes,yes,surfing,yes,the sky is clear and blue,it is traveling on train tracks,they are both red,he is riding a surfboard in the ocean,people are holding umbrellas and the ground is wet,the group of airplanes are flying through a blue sky,the life size train is traveling down the tracks in front of a mountain,they are both a red color,he is standing on waves,the ground is wet and many of the bike race spectators are holding umbrellas,cups,none,fire truck,elephant,produce,grass,summer,london,cats,playing tennis,91236013.jpg,6153005.jpg,581557000.jpg,381360002.jpg,101636006.jpg
80,1717,301,1868,718,974,40681002,148531000,123136001,435692001,450570005,What activity are the people doing?,Is this a modern plane?,What room is this?,What is this person doing?,What are the people doing?,skiing,no,kitchen,flying kite,skiing,skiing,no,kitchen,flying kite,skiing,they are on skis and going down a snowy hill,it is a very old plane,there is a sink and a stove,there is a kite in the sky above their head,they are on skis in the snow,"they have the proper equipment, and there is snow",the blue plane has propellers and not jets,there is bowls and plates on the shelf to the left of a sink,it appears to be a kite in the image with a thin string,they are in the snow on skis,veggie,laptop,pepperoni,tower,carpet,packing,living room,neck,horses,woman,40681002.jpg,148531000.jpg,123136001.jpg,435692001.jpg,450570005.jpg
85,1729,790,5,784,1465,171819004,177861002,262476000,46538004,356920002,Is the water choppy?,Is it raining?,Are the people having a party?,Does this room look clean?,Is it raining?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,the waves are crashing,people are using umbrellas and the ground is wet,there are people drinking and dancing,verything is shiny and spotless,the man is holding an umbrella,there is white water at the surface and the water itself isn't at all smooth,the sidewalk where these people are walking is wet and the pedestrians are carrying open umbrellas over their heads,they are gathered in the kitchen drinking,it is nice and white and clear of cutter,the ground is really wet and shiny,razorbacks,halloween,0,flying kites,waving,london,victoria,fall,desert,pigeons,171819004.jpg,177861002.jpg,262476000.jpg,46538004.jpg,356920002.jpg
90,1090,1363,1397,702,92,382728006,87052027,351466000,565693000,529455001,Is this a modern train?,What is on top of the refrigerator?,Is the clock old?,What holiday is this?,What is he doing?,yes,cups,yes,christmas,surfing,yes,cups,yes,christmas,surfing,it is hauling a long line of cargo,they are yellow and in a kitchen,it is very old,the family is wearing red santa hats and matching red and white striped socks,he is riding a surfboard in the water,many of the cars are tankers and there are three non-steam engines at its front and there are also box cars attached to it,yellow solo cups are stacked on top of it,the design of this clock is not modern,they are wearing santa hats and costumes,he is on a surf board in the ocean riding a wave,zebra,playing tennis,evening,fresh,kitchen,outdoor,keyboard,lighthouse,top hat,breakfast,382728006.jpg,87052027.jpg,351466000.jpg,565693000.jpg,529455001.jpg
95,1112,1874,238,1079,971,332318004,318361002,155319003,460461007,319342004,What kind of animals are in the field?,What room is this?,What is this person holding?,Is it winter?,Where is this picture taken?,cows,kitchen,kite,no,beach,cows,kitchen,kite,no,beach,they are grazing on a green hillside,there is a refrigerator and stove,it is a string that is attached to a kite,the people are wearing shorts and t-shirts,there is lots of water and a person on a surfboard,"they are a herd of large, brown, domestic animals",it has a stove in it,the man has a string in his hand and his children are standing next to a kite that has fallen to the ground,the trees have all their leaves on them,"there is water, surf, and a person riding on a surfboard",tile,boat,barrel,0,parade,gas,flying,pancakes,cactus,juice,332318004.jpg,318361002.jpg,155319003.jpg,460461007.jpg,319342004.jpg
100,401,1376,1445,1763,156,416786000,350214001,93140001,508950001,533480002,What kind of food is this?,Is the photo colored?,What room is this?,What are they drinking?,Is it raining?,cake,no,kitchen,water,yes,cake,no,kitchen,water,yes,it has birthday candles on it,the photo is in black and white,there is a stove and a microwave,the glasses are clear and have water in them,the man is holding an umbrella,"it is round, large, and has icing on it","the stop sign is not red, it is black and white",the stove top is on the counter beside the salt and pepper shakers,the glasses are filled with colorless liquid,you can see raindrops and the windshield wipers are working on the red car,asparagus,tennis,lights,produce,juice,breakfast,lighthouse,commercial,van,hot dog,416786000.jpg,350214001.jpg,93140001.jpg,508950001.jpg,533480002.jpg
105,1199,1551,1356,547,63,469242000,494855000,217594001,32331001,528011002,What kind of vehicle is shown?,What sport is this?,Is the television turned on?,What are they doing?,Does this animal have a tail?,train,baseball,no,snowboarding,yes,train,baseball,no,snowboarding,yes,it is on the tracks and has many passengers,the man is swinging a baseball bat,the light is on and it is dark,they are on snowboards,it has a long tail,it is a long vehicle on tracks,the player is swinging a baseball bat while at home plate wih\th a catcher right behind him,the tv screen is dark,they are near some snowboards,it is a zebra and is showing a tail,london,surfboard,duck,duck,tile,orange juice,beach,flying kite,ham,male,469242000.jpg,494855000.jpg,217594001.jpg,32331001.jpg,528011002.jpg
110,1581,1362,1795,893,542,103806002,87038001,379882001,467477001,163025000,What room of the house is this?,What sport is this?,What sport are these athletes playing?,What is the person doing?,Is the man happy?,kitchen,skateboarding,baseball,surfing,no,kitchen,skateboarding,baseball,surfing,no,there is a refrigerator and a dishwasher,the people are riding skateboards in a skate park,the man is holding a baseball bat,he is riding a surfboard on a wave,he is not smiling and his face looks like he is mad,a dishwasher and refrigerator are in the room,he just preformed a trick on a skateboard,"there is man batting, a catcher and an umpire",he is inside of a wave,he is posing for a photo shoot,clothing,pita,duck,train,fire truck,skateboarding,tie,red bull,light,cucumber,103806002.jpg,87038001.jpg,379882001.jpg,467477001.jpg,163025000.jpg
115,1378,267,1107,1533,68,350388001,278006005,201072002,361993001,528136020,What type of vegetable is on the plate?,Is the window open?,What sport is he playing?,Should the man be afraid of being run over by traffic?,What kind of vehicle is shown?,broccoli,no,tennis,no,van,broccoli,no,tennis,no,van,it is green and looks like broccoli,the window is closed,he is holding a tennis racket,he is walking across the street,it is a large white van with a satelite dish on the back,it is green and brocoli shaped,the sky is reflecting off of the glass window panes which are closed,that is a tennis net and he is holding a tennis racket,the traffic lights are red,the rear of this vehicle doesn't have windows and it has big doors that slide to give access,top hat,electric,bread,flying,volleyball,orange juice,donut,outdoor,right,drinking,350388001.jpg,278006005.jpg,201072002.jpg,361993001.jpg,528136020.jpg
120,1885,874,1304,88,1153,386707000,182021001,83364001,398174003,335119004,Does this man need to shave?,What sport is this?,Do you think this picture was taken in England?,What kind of pants is she wearing?,What type of vehicle is this?,no,baseball,yes,jeans,bus,no,baseball,yes,jeans,bus,he has a smile on his face,the batter is waiting for a pitch,the street signs are written in english,they are blue and made of denim,it has a long bus-like vehicle with many windows,the man doesn't have much hair on his face,there is a player with a bat and a helmet on,the large building resembles a castle,they are blue and have a casual look to them,it is long and has many windows,toilet,train,toilet,german shepherd,eating,kangaroo,barrel,necklace,airplane,barrel,386707000.jpg,182021001.jpg,83364001.jpg,398174003.jpg,335119004.jpg
125,1791,478,1294,1540,1720,117543002,27842002,214204010,169648007,531875001,Is the plane upside down?,What room is this?,Which room is this?,What activity is the women participating in?,What kind of vegetable is this?,no,bathroom,bathroom,frisbee,carrot,no,bathroom,bathroom,frisbee,carrot,the bottom of the plane is pointed up,there are sinks and a mirror,there is a toilet and a sink,he is throwing a frisbee,it is long and orange,it is flying right side up in the sky,it has 2 sinks 2 mirrors and tile floor,there is a toilet in the room,she is standing in a field throwing a frisbee,they are long and orange,texting,metal,old,german shepherd,surfing,bat,gas,asparagus,gas,bandana,117543002.jpg,27842002.jpg,214204010.jpg,169648007.jpg,531875001.jpg
130,1691,1596,333,1235,518,111062001,156246000,413008000,428231000,161772001,Does this room look neat and tidy?,What kind of animal is this?,Is that healthy?,Is this modern or Victorian style furniture?,Does this pizza have normal toppings?,yes,elephant,no,modern,no,yes,elephant,no,modern,no,verything is in its own place,it has a trunk,it is a waffle with sugar and butter,it has modern furnishings and decor,it has spinach and other toppings,there is no clutter on any surface,"the animal is much bigger than the boy, and has large gray floppy ears and a trunk",sugar covers the top between rows of frosting,the style of furniture is new and sleek,peaches are shown on top of it,no,bat,landing,wing,winter,color,riding motorcycle,china,soccer,halloween,111062001.jpg,156246000.jpg,413008000.jpg,428231000.jpg,161772001.jpg
135,1250,1026,1631,1343,385,473299000,61997001,107306001,347772000,153832000,What is the person doing?,What is the man doing?,Does the water have ripples?,What sport is being played?,Is this a real train?,snowboarding,painting,yes,baseball,no,snowboarding,painting,yes,baseball,no,they are on a snowboard in the snow,he is holding a paint brush,there are small ripples in the water,the man is holding a baseball bat,it is a toy train,a rider is gliding down a snow covered slope standing on a board,he is holding a paintbrush,the water is not flat,the player is standing on a base with a baseball bat,it is a miniature model of a real train,frisbee,sunny,giraffe,home,snow,landing,seagull,fake,fresh,baseball,473299000.jpg,61997001.jpg,107306001.jpg,347772000.jpg,153832000.jpg
140,1407,534,1220,544,1268,352744001,424933006,470909044,32193002,343703003,What room is this?,What sport are they playing?,What type of room is this?,What are the giraffe doing?,What is the person in the scene doing?,bathroom,baseball,classroom,eating,skiing,bathroom,baseball,classroom,eating,skiing,there is a sink and a tub,the players are wearing baseball uniforms and one is holding a baseball,there are desks and a cabinet,it is reaching its head into a feeder,they are on a snowy hill with ski poles,there is a toilet and bathtub,the boy is ready to throw the baseball with a glove on,there is a stadium and many desks,their faces are in the container that holds their food and their bodies are not,they are wearing skis and traveling down a mountain of snow,red bull,living room,bird,man,sunny,skiing,jumping,camera,owl,pitching,352744001.jpg,424933006.jpg,470909044.jpg,32193002.jpg,343703003.jpg
145,586,1055,1554,975,317,296988004,195542009,363830007,57363001,19028005,What kind of vehicle is shown?,Is the keyboard wireless?,What room is this?,What type of vehicle is this?,What room of the house is this?,truck,yes,bathroom,fire truck,kitchen,truck,yes,bathroom,fire truck,kitchen,it is a large vehicle with a cab and a flatbed,there is no cord attached to the keyboard,there is a bathtub and a toilet in it,it is red and yellow with a ladder,there is a stove and a dishwasher in it,it has a small cab with a large container on the back,there are no cords coming out from the keyboard,there is an old fashioned bathtub in the middle of the room,it is red and has a ladder on the back,there is a dishwasher in the room,lion,nose,neck,beer,cow,yes,off,color,outside,woman,296988004.jpg,195542009.jpg,363830007.jpg,57363001.jpg,19028005.jpg
150,1601,34,1855,1708,124,498453001,1584016,253520000,374628002,399543000,What is the person doing?,Is that a commercial bus?,Is it cloudy?,Does this room have curtains on the windows?,What kind of court is this?,surfing,yes,no,no,tennis,surfing,yes,no,no,tennis,he is standing on a surfboard in the ocean,it is a double decker bus,the sky is blue and clear,the windows are all glass,there is a tennis ball and a tennis net,he is balancing on a wave,there are passengers riding on it,the sky is a very even blue color with no white obstructions,they are wide open and visible,there is a net and the tennis players are hitting the ball over it,jumping,orange,gas,lighthouse,van,cat,orange,couch,throwing frisbee,elephants,498453001.jpg,1584016.jpg,253520000.jpg,374628002.jpg,399543000.jpg
155,1045,968,1779,695,904,456261001,580951006,247484002,303127000,53015001,What is this person doing?,What animal is shown?,What room is this?,What kind of animal is this?,Is this a restaurant?,sleeping,elephant,living room,cow,yes,sleeping,elephant,living room,cow,yes,he is laying in bed,it has a long trunk and large ears,the men are sitting on a couch playing a video game,it has large ears and a large body,there are many tables and people eating,they are tired in bed,this animal has ivory tusks,the people sit on a couch and hold game controllers,the ears are large and the eyes are wide spaced,there is food on the table and other tables in the room,evening,desert,double decker,polar,grass,electric,cups,lemon,reading,airplane,456261001.jpg,580951006.jpg,247484002.jpg,303127000.jpg,53015001.jpg
160,622,666,1241,819,360,36773002,301155001,341487002,310342006,283168004,Does he have on a headband?,What sport is this?,Is the man carrying a musical instrument of any kind?,Is the elephant walking in a herd?,Is this a healthy meal?,yes,baseball,yes,yes,no,yes,baseball,yes,yes,no,he is wearing a white headband,the catcher is catching the ball,he is holding a skateboard,there are many elephants walking in a herd,it is a sandwich and a side dish,the tennis player is wearing a white sweatband all around his forehead,there is a back catcher wearing a baseball uniform,he is carrying a rain stick in his hand,there is a group of elephants walking together,pulled pork sandwiches are generally greasy and can have a lot of fat,truck,display,elephants,reading,victoria,toilet,wine,mustache,old,coffee,36773002.jpg,301155001.jpg,341487002.jpg,310342006.jpg,283168004.jpg
165,1103,1526,629,1592,1233,200717011,492683000,168032000,497674002,340934001,Is it daytime?,Is the window open?,Is this picture in color?,What is the man doing?,What room is this?,yes,yes,no,reading,bathroom,yes,yes,no,reading,bathroom,the sky is blue and the sun is shining,the dog is looking out of the window,the only colors in the picture are black and white,he is holding a book and looking at it,there is a tub and a toilet and a sink,the sun is casting shadows on the ground,the dog is looking out the open window,the black and white photo is devoid of colors,he is focused on a book,there is a toilet in it and a sink,wing,sunny,curly,strawberries,helmet,bakery,running,wing,wing,hay,200717011.jpg,492683000.jpg,168032000.jpg,497674002.jpg,340934001.jpg
170,1816,1739,855,693,1834,381393001,507135001,50099001,434098027,120771000,What room is this?,What is this?,Is the laptop on?,What room is this?,What sport is this person doing?,bathroom,fire hydrant,yes,bathroom,surfing,bathroom,fire hydrant,yes,bathroom,surfing,there are sinks and mirrors,it is painted pink and white and has a white cap,the screen is lit up,there is a toilet and a sink,he is on a surfboard in the ocean,there are multiple sinks and mirrors in the room,it is red and has a nozzle,text and pictures are visible on the screen,"the man is taking a pic of his bathroom, as you can see in the mirror",they are riding a wave,volleyball,taking picture,graffiti,yes,dining room,lemon,walking,cloudy,eating,electric,381393001.jpg,507135001.jpg,50099001.jpg,434098027.jpg,120771000.jpg
175,1840,387,942,1811,1682,514550002,547202002,579060004,381134001,372794004,What is the boy doing?,Does this sign contain a stop light?,What game is he playing?,Does the man have hair on his head?,Is this a passenger train?,skateboarding,yes,tennis,no,no,skateboarding,yes,tennis,no,no,he is riding a skateboard,it has a red light on it,he is hitting a tennis ball with a racket,he is bald and has no hair on his head,it is a freight train,he is riding on a ramp using a skateboard,you can see the stop light image on the sign,he is hitting a ball with a racket,the man's scalp is completely visible,the train has wording on it that says it is for freight,heineken,dining room,on,bench,trash,lemon,standing,overcast,right,surfing,514550002.jpg,547202002.jpg,579060004.jpg,381134001.jpg,372794004.jpg
180,1164,41,861,119,1605,274418002,133251014,50309002,268340001,105367001,Is this the United States?,What is the dog doing?,What sport is pictured?,Do the mountains have a high elevation?,What type of animals are walking by?,no,sleeping,surfing,yes,cows,no,sleeping,surfing,yes,cows,the writing on the door is not in english,he is laying down,the man is riding a surfboard in the ocean,the mountains are higher than the stop sign,they are large and have hooves,the writing is in symbols that are not used in english,he is laying in his bed,a man is on a board on a wave,mountains appear in the horizon at higher than eye level,they have somewhere to be,smoking,riding elephant,chocolate,skateboarding,tomato,orange,standing,van,water,skateboarding,274418002.jpg,133251014.jpg,50309002.jpg,268340001.jpg,105367001.jpg
185,1071,59,1688,1804,1088,360529004,134551003,242007001,249277001,461255012,What holidays are decorations being sold for?,What game is this?,Is the cat sleeping?,Is it sunny?,What kind of pants is he wearing?,halloween,tennis,yes,no,jeans,halloween,tennis,yes,no,jeans,the products are boxes with decorations on them,the man is holding a tennis racket,it is laying down,the sky is cloudy and there are many clouds,they are blue and made of denim,the packages have pumpkins on them,there is a tennis court and a racket in the man's hand,the cat is lying down and oblivious to the camera,the sky is full of clouds,they are made of denim material,chair,sand,on,black and white,bedroom,norwood,fork,flying,barrel,curly,360529004.jpg,134551003.jpg,242007001.jpg,249277001.jpg,461255012.jpg
190,394,120,738,233,961,23294005,6213003,305873001,538463001,318138001,Is it raining?,What room is this?,Is this fashion statement emulating a bug?,What kind of station is this?,Is this person sad?,no,bathroom,yes,train,no,no,bathroom,yes,train,no,the people are walking on the sand with no water falling,there is a shower and a sink,he is wearing a ladybug costume,there is a train on the tracks,he is smiling and playing a video game,the sand on the ground is dry and not compacted by moisture,there is a bath tub and shower in it,lady bugs are seen as cute,there is a locomotive entering the scene,she is smiling while playing a game,flying,desert,realistic,texting,left,mets,man,standing,none,younger,23294005.jpg,6213003.jpg,305873001.jpg,538463001.jpg,318138001.jpg
195,1007,442,1329,880,1479,453557000,550055002,477946002,182441002,227044000,Is this meant to look gory?,Is this a military plane?,What sport is this?,Is the water calm?,Does the toilet paper roll need to be replaced?,yes,no,skateboarding,no,no,yes,no,skateboarding,no,no,the man on the left has red makeup on,it is painted like a commercial plane,the man is doing a trick on a skateboard,there are waves crashing on the beach,it is still in the holder,he is bloody with a murder weapon,it is a plane built for civilians to travel on,the man is doing some tricks with a skateboard,big waves are crashing near the shore,there is plenty of paper left on the roll,office,0,black and white,rainy,army,frisbee,evening,mustache,flying kites,canopy,453557000.jpg,550055002.jpg,477946002.jpg,182441002.jpg,227044000.jpg
