index,index_0,index_1,index_2,index_3,index_4,id_0,id_1,id_2,id_3,id_4,statement_0,statement_1,statement_2,statement_3,statement_4,answer_0,answer_1,answer_2,answer_3,answer_4,output_answer_0,output_answer_1,output_answer_2,output_answer_3,output_answer_4,output_explanation_0,output_explanation_1,output_explanation_2,output_explanation_3,output_explanation_4,explanation_0,explanation_1,explanation_2,explanation_3,explanation_4,other_answer1_0,other_answer1_1,other_answer1_2,other_answer1_3,other_answer1_4,other_answer2_0,other_answer2_1,other_answer2_2,other_answer2_3,other_answer2_4,img_name_0,img_name_1,img_name_2,img_name_3,img_name_4
50,7352,13552,2199,12748,6744,3732728142.jpg#0r1c,3449846784.jpg#3r1n,4439654945.jpg#0r5e,3169276423.jpg#0r1n,6828750292.jpg#1r1e,The baby is crying and not wearing any clothes.,a dog is outdoors playing,Children feign sleep while observing the local customs of adults.,The people are blowing smoke out of their mouths.,Three guys are on the field.,contradiction,entailment,entailment,contradiction,entailment,contradiction,entailment,entailment,contradiction,entailment,the baby cannot be crying and not wearing any clothes at the same time,a dog is playing with a ball on the gravel,children are children and they are watching adults so they are observing the local customs of adults,the people cannot be blowing smoke out of their mouths and holding fake moustaches in their mouths simultaneously,three guys are playing lacrosse on a field,"if one is wearing a beanie, they cannot be not wearing any clothes",this is a dog playing outdoors,children can be young children,there is no blowing smoke,lacrosse is a sport usually played on the field,entailment,contradiction,contradiction,entailment,contradiction,neutral,neutral,neutral,neutral,neutral,3732728142.jpg%230r1c.jpg,3449846784.jpg%233r1n.jpg,4439654945.jpg%230r5e.jpg,3169276423.jpg%230r1n.jpg,6828750292.jpg%231r1e.jpg
55,14385,1083,7431,6562,1291,2701892321.jpg#2r1n,4494075018.jpg#0r1e,4759710534.jpg#2r1c,3456579559.jpg#1r1e,2382950929.jpg#1r1c,The grand master of chun kuk do graced the audience with a performance.,A man is near water.,The woman is jogging.,The trick is performed in the air.,A boy helps a elderly woman cross the busy intersection.,neutral,entailment,contradiction,entailment,contradiction,neutral,entailment,contradiction,entailment,contradiction,the man may not be the grand master,a man is near water because he is standing in front of a boat,the woman cannot be standing and jogging at the same time,a skateboard trick is a trick,the boy cannot be sitting on rocks and helping a woman cross an intersection simultaneously,"it looks as though the men are practicing chun kuk do but i do not know how to tell if the person depicted is the ""grand master.""",cruises along the water implies near water,"if the woman is jogging, she is most likely not carrying a purse since it would just disturb her while jogging",if the skateboarder is jumping a trick in the air then the trick is performed in the air,the boy cannot help an elderly woman cross a busy road at the same time as he ties his shoe near a rock in front of water,entailment,contradiction,entailment,contradiction,entailment,contradiction,neutral,neutral,neutral,neutral,2701892321.jpg%232r1n.jpg,4494075018.jpg%230r1e.jpg,4759710534.jpg%232r1c.jpg,3456579559.jpg%231r1e.jpg,2382950929.jpg%231r1c.jpg
60,5592,13150,14560,7637,6186,3774986130.jpg#4r1e,104285082.jpg#2r1n,72010346.jpg#1r1n,1810651611.jpg#3r2e,4912431886.jpg#1r1c,The women are playing with a toy.,The man is playing for an audience,The man and woman are swaying to their favorite song.,The girl is playing outside.,A man is walking in the park.,entailment,entailment,neutral,entailment,contradiction,entailment,entailment,neutral,entailment,contradiction,hula hooping is a form of playing with a toy,a man playing an instrument is playing for an audience,just because a man and woman are dancing doesn't mean they are swaying to their favorite song,a girl is playing outside in a backyard,the man cannot be walking and rappelling simultaneously,hula hoops are a toy,a man in the picture appears to be playing for an audience,the man and woman are swaying to music,girl is young,hanging and walking are different actions building and park are different places,contradiction,contradiction,entailment,contradiction,entailment,neutral,neutral,contradiction,neutral,neutral,3774986130.jpg%234r1e.jpg,104285082.jpg%232r1n.jpg,72010346.jpg%231r1n.jpg,1810651611.jpg%233r2e.jpg,4912431886.jpg%231r1c.jpg
65,14300,1540,12148,10841,5516,2881378816.jpg#3r1n,415604639.jpg#1r1e,3201517121.jpg#0r1n,4917931600.jpg#3r1n,21514026.jpg#4r1c,While sitting near a street the man is wearing a blue shirt eating a hotdog,A man and a woman exit and enter a kitchen.,Two soldiers fighting after an argument.,The man in goggles just crashed a plane.,In a cafe a woman stands naked,contradiction,entailment,neutral,contradiction,contradiction,contradiction,entailment,neutral,contradiction,contradiction,the man cannot be wearing a black and white striped shirt and a blue shirt at the same time,a man and a woman exiting a kitchen are entering a kitchen,just because two men are fighting doesn't mean they are soldiers,the man cannot be kneeling down and crashed a plane simultaneously,the woman cannot be naked and wearing a dress at the same time,the man in the blue shirt is not eating a hotdog. he is clearly playing an instrument because you can see the case sitting next to him and you can see the stand in front of him,if the people are exiting and entering thne they exit and enter,there is nothing in the picture to indicate the two men are soldiers and in fact the two men appear to be the same person,nothing in the photo indicates a crashed plane,a dress covers your naked body,entailment,contradiction,entailment,entailment,entailment,neutral,neutral,contradiction,neutral,neutral,2881378816.jpg%233r1n.jpg,415604639.jpg%231r1e.jpg,3201517121.jpg%230r1n.jpg,4917931600.jpg%233r1n.jpg,21514026.jpg%234r1c.jpg
70,2760,2819,11703,3376,10295,1580159719.jpg#0r1e,2584487952.jpg#4r1e,7610186624.jpg#2r1n,1546632452.jpg#0r3e,4941418090.jpg#0r1n,There is music being played.,The dog is outside.,The girl can't wait to eat.,The boy is moving up and down.,A woman is preparing to play music.,entailment,entailment,neutral,entailment,entailment,entailment,entailment,neutral,entailment,entailment,a group of young people are listening to music,a dog is outside in a grassy field,a girl cutting a sandwich does not imply that she can't wait to eat,jumping is moving up and down,a woman is preparing to play music by playing the guitar,music is being played because a guitar and violin make music,grass is usually seen outside,the girl may be hungry but she may also be able to wait to eat,bouncing almost the same as moving up and down,it appears as though this woman is preparing to play music because she has her hands on the knobs as she tunes the guitar,contradiction,contradiction,entailment,contradiction,contradiction,neutral,neutral,contradiction,neutral,neutral,1580159719.jpg%230r1e.jpg,2584487952.jpg%234r1e.jpg,7610186624.jpg%232r1n.jpg,1546632452.jpg%230r3e.jpg,4941418090.jpg%230r1n.jpg
75,4296,595,5643,2259,5720,2923086298.jpg#2r1e,4692725862.jpg#1r1c,2763090857.jpg#2r1e,558338473.jpg#1r1e,5504963988.jpg#4r1e,The woman is cleaning.,Two boys are eating lunch in the pool.,A human smiling,Two men practice martial arts together,The workers of Asian descent can be seen working hard.,entailment,contradiction,entailment,entailment,entailment,entailment,contradiction,entailment,entailment,entailment,vacuuming is a form of cleaning,the boys cannot be eating lunch and swimming simultaneously,a woman is a human,two men practice martial arts together is part of the overall description of them practicing in a gym,the workers are working hard because they are preparing fish,vacuuming is a form of cleaning a floor,the two boys can not play in the pool and eat lunch in the pool at the same time,a woman is a human and she can smile,"if they are practicing karate moves, they are practicing martial arts, since karate is a martial art","the workers are asian and therefore of asian descent; if they are working hard, they can be seen to be working hard",contradiction,entailment,contradiction,contradiction,contradiction,neutral,neutral,neutral,neutral,neutral,2923086298.jpg%232r1e.jpg,4692725862.jpg%231r1c.jpg,2763090857.jpg%232r1e.jpg,558338473.jpg%231r1e.jpg,5504963988.jpg%234r1e.jpg
80,7147,14469,7854,4782,13233,1053116826.jpg#0r5e,4694894610.jpg#1r1n,2678171436.jpg#3r1c,4803984649.jpg#3r1c,473323374.jpg#4r1n,Two children are sitting outside.,A man performs where has does everyday.,The man is working on top of a bridge.,A man is chasing dogs.,The child wants to be fed.,entailment,neutral,contradiction,contradiction,neutral,entailment,neutral,contradiction,contradiction,neutral,the children are sitting in the grass so they must be outside,a man playing a guitar on the sidewalk does not imply that he performs everyday,the man cannot be digging a hole and working on top of a bridge simultaneously,the man cannot simultaneously be standing and chasing dogs,a child crying does not imply that the child wants to be fed,children who sit on the grass are sitting outside,"the man is performing, it is unclear that it was everyday",the man cannot be on top of the bridge if he is also underneath it,standing and chasing are different kind of actions,it is not clear if the child wants to be fed,contradiction,entailment,entailment,entailment,entailment,neutral,contradiction,neutral,neutral,contradiction,1053116826.jpg%230r5e.jpg,4694894610.jpg%231r1n.jpg,2678171436.jpg%233r1c.jpg,4803984649.jpg%233r1c.jpg,473323374.jpg%234r1n.jpg
85,1774,6864,3845,13549,11738,1234206849.jpg#4r4e,2394003437.jpg#3r1e,3024022266.jpg#1r1e,2852982055.jpg#3r1n,4974263771.jpg#3r1n,Woman covering their heads are posing for a picture.,A boy riding on a motor scooter.,A man at the beach.,They are a family,the adults want to see something,entailment,entailment,entailment,neutral,neutral,entailment,entailment,entailment,neutral,neutral,women are wearing hats,a boy riding a motor scooter is riding a motor scooter,a young boy is a man,just because they are playing in a fountain doesn't mean they are a family,just because the adults are looking at something does not mean they want to see it,women covering their head wearing hats are posing for picture,a segway is a motor scooter,a man could be a young surfer,the relationship of the people in the picture is unclear or if they are a family,nothing is suggesting that they want to see what the girl is doing,contradiction,contradiction,contradiction,entailment,entailment,neutral,neutral,neutral,contradiction,contradiction,1234206849.jpg%234r4e.jpg,2394003437.jpg%233r1e.jpg,3024022266.jpg%231r1e.jpg,2852982055.jpg%233r1n.jpg,4974263771.jpg%233r1n.jpg
90,13539,252,4432,4592,3039,5925539370.jpg#3r1n,2905200744.jpg#1r1e,3368569524.jpg#3r1c,3354474353.jpg#2r1e,1378557186.jpg#0r1c,A young overweight baseball pitcher throwing a fastball in a game.,The people pictured are wearing protective head gear.,Girls are playing football.,A pair of dogs outside.,The man is looking through binoculars,neutral,entailment,contradiction,entailment,contradiction,neutral,entailment,contradiction,entailment,contradiction,a baseball pitcher throwing a fastball is not assumed to be overweight,helmets are protective head gear,basketball and football are different sports,two dogs are a pair of dogs and snow is outside,the man cannot be aiming a gun and looking through binoculars simultaneously,no way to tell if the pitch is a fastball,helmets are protective head gear,ones can be playing either basketball or football,two dogs are a pair,one cannot be aiming to shoot something and looking through binoculars simultaneously,entailment,contradiction,entailment,contradiction,entailment,contradiction,neutral,neutral,neutral,neutral,5925539370.jpg%233r1n.jpg,2905200744.jpg%231r1e.jpg,3368569524.jpg%233r1c.jpg,3354474353.jpg%232r1e.jpg,1378557186.jpg%230r1c.jpg
95,12572,11895,6935,4968,11691,4549641134.jpg#0r1n,7012109893.jpg#0r1n,19469520.jpg#2r1c,3209564153.jpg#1r1c,5623287052.jpg#3r1n,A group of elderly people sitting outside,A man is not happy about having to clean the roof.,Men are fighting after a basketball game.,A woman ice skates.,"A man is shopping for his favorite cereal, Cap n Crunch.",neutral,neutral,contradiction,contradiction,neutral,neutral,neutral,contradiction,contradiction,neutral,not all people are elderly,a man cleaning the roof is not assumed to be not happy about having to clean the roof,the men cannot be standing and fighting simultaneously,a man is not a woman,the cereal is not necessarily his favorite,a group of people are sitting outside,"there is a man cleaning the roof, but there is no way to tell whether or not he is happy as we cannot see his face","fighting is the opposite of camaraderie, and basketball is not a kind of race",a man is different from a woman,"a man is shopping in the cereal aisle, but we don't know what he's looking for or that cap n crunch is his favorite",entailment,entailment,entailment,entailment,entailment,contradiction,contradiction,neutral,neutral,contradiction,4549641134.jpg%230r1n.jpg,7012109893.jpg%230r1n.jpg,19469520.jpg%232r1c.jpg,3209564153.jpg%231r1c.jpg,5623287052.jpg%233r1n.jpg
100,5451,11108,5147,7621,5540,3125628091.jpg#3r1e,4876517154.jpg#4r1n,118939364.jpg#1r3c,69830857.jpg#1r1c,3562816250.jpg#4r1c,Someone is smiling.,A member of the church is smoking,A woman is a red sweater is baking a pie.,There is a person walking next to a large snowbank.,A woman laying on the beach.,entailment,neutral,contradiction,contradiction,contradiction,entailment,neutral,contradiction,contradiction,contradiction,a child is someone,a man smoking a cigarette is not assumed to be a member of the church,the woman is either in a brown sweater or a red sweater,a person cannot be walking next to a mountain and a snowbank simultaneously,the woman cannot be kayaking and laying on the beach simultaneously,a smiling child fits the category of someone performing the action of smiling,"a man wears what looks to be a nun's outfit and is smoking a cigarette, but there is no evidence he is a church member",machine and sweater are not same,there is no snowbank in the desert,a woman can't be kayaking and laying,contradiction,entailment,entailment,entailment,entailment,neutral,contradiction,neutral,neutral,neutral,3125628091.jpg%233r1e.jpg,4876517154.jpg%234r1n.jpg,118939364.jpg%231r3c.jpg,69830857.jpg%231r1c.jpg,3562816250.jpg%234r1c.jpg
105,11493,10835,7949,13691,2068,462383841.jpg#3r1n,2731298834.jpg#1r1n,411008311.jpg#4r1c,7252718418.jpg#0r1n,92679312.jpg#3r1n,One sad lady enjoying her flotation device on a clear water beach.,The woman is the children's mother.,A man is jumping over a couch.,girl going to him home run,A father and son are singing a duet.,neutral,neutral,contradiction,neutral,neutral,neutral,neutral,contradiction,neutral,neutral,the lady is not necessarily sad,a woman can be with children without being their mother,the man is either jumping over a couch or a grassy area,a girl swinging a bat at a ball is not assumed to be going to him home run,a man and a boy are not assumed to be father and son,we don't see the lady's face. there is no way of telling if she is sad or feeling any other emotion,we cant assure that the woman is the children's mother,stone wall is not a couch,girl is not guaranteed to get a home run,a man is not necessarily a father nor does the young boy need to be his son,entailment,entailment,entailment,entailment,entailment,contradiction,contradiction,neutral,contradiction,contradiction,462383841.jpg%233r1n.jpg,2731298834.jpg%231r1n.jpg,411008311.jpg%234r1c.jpg,7252718418.jpg%230r1n.jpg,92679312.jpg%233r1n.jpg
110,1107,1300,4534,14493,11584,2853682342.jpg#0r1c,2646540383.jpg#4r1e,2641098920.jpg#0r1c,118939364.jpg#1r4n,7129695767.jpg#2r1n,The man is inside.,A boy is near the water.,A woman has a blue shirt.,The woman is wearing pants.,A man is testing his limits while he climbs his first mountain.,contradiction,entailment,contradiction,neutral,neutral,contradiction,entailment,contradiction,neutral,neutral,the man cannot be inside and in the park at the same time,a boy is near the water because he is sliding down a water slide,the woman is either wearing a white shirt or a blue shirt,not all women wear pants,a man climbing a mountain is not assumed to be testing his limits,running and jumping is not inside,the boy would need to be near water in order to be on the water slide,a white shirt is not blue,"in the image, the woman is sewing a clothe. it is not possible indentify",the man is climbing a mountain but not sure if it's his first mountain,entailment,contradiction,entailment,entailment,entailment,neutral,neutral,neutral,contradiction,contradiction,2853682342.jpg%230r1c.jpg,2646540383.jpg%234r1e.jpg,2641098920.jpg%230r1c.jpg,118939364.jpg%231r4n.jpg,7129695767.jpg%232r1n.jpg
115,4545,1197,13626,3831,9879,2641098920.jpg#2r1c,393043864.jpg#0r1e,116409198.jpg#4r1n,7711598144.jpg#2r1e,3761067976.jpg#4r1n,Two women rest on a bench next to an apple tree.,A basket of produce sit outside.,A man near a tent on a mountainside,A woman is competing.,The young girls holding the basket with the bow is selling flowers.,contradiction,entailment,entailment,entailment,neutral,contradiction,entailment,entailment,entailment,neutral,the women cannot be sitting on a couch and a bench simultaneously,a basket of produce is a type of produce,a man is sitting in the snow near a tent on a mountainside,a woman competing in a martial arts competition is competing,the young girl holding the basket with the bow is not necessarily selling flowers,sofa is different to a bench,an open air market means that it is outside,he is near a tent on a mountain,"if she performs in a martial arts competition, then she is competing",label: neutralexplanation: the young girl is holding a flower and basket but whether or not she's actually selling flowers is hard to tell as the background looks as of indoors,entailment,contradiction,contradiction,contradiction,entailment,neutral,neutral,neutral,neutral,contradiction,2641098920.jpg%232r1c.jpg,393043864.jpg%230r1e.jpg,116409198.jpg%234r1n.jpg,7711598144.jpg%232r1e.jpg,3761067976.jpg%234r1n.jpg
120,2984,6420,5767,6017,12606,3549006919.jpg#2r1c,2618322793.jpg#4r3c,2527411111.jpg#2r1e,3344040145.jpg#4r1c,125635185.jpg#0r5n,A person is sliding down the cliff.,The boy is riding his bike down the street.,A man touches a woman,A woman is sleeping.,The children are playing outdoors because it's nice outside.,contradiction,contradiction,entailment,contradiction,neutral,contradiction,contradiction,entailment,contradiction,neutral,the person cannot be climbing and sliding down the cliff simultaneously,the boy cannot be riding his bike and swinging at the same time,a man and woman are kissing,the woman cannot simultaneously be sleeping and screaming,children can play outside without it being nice outside,the person is either climbing the cliff or sliding down,a boy riding his bike cannot also swing in the air,a man and a woman kissing on a street is to expose their love!,either the woamn is sleeping or skiing,the children are indeed playing outside but we don't know the reason. the temperature may actually be unpleasant,entailment,entailment,contradiction,entailment,entailment,neutral,neutral,neutral,neutral,contradiction,3549006919.jpg%232r1c.jpg,2618322793.jpg%234r3c.jpg,2527411111.jpg%232r1e.jpg,3344040145.jpg%234r1c.jpg,125635185.jpg%230r5n.jpg
